         640774 function calls (638121 primitive calls) in 0.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1573(__init__)
        9    0.000    0.000    0.000    0.000 cbook.py:189(deprecate)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      152    0.000    0.000    0.000    0.000 colors.py:499(__init__)
        1    0.000    0.000    0.000    0.000 legend_handler.py:26(<module>)
        1    0.000    0.000    0.000    0.000 image.py:5(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1540(__init__)
       13    0.000    0.000    0.000    0.000 cycler.py:93(_from_iter)
      563    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
      266    0.000    0.000    0.000    0.000 pyplot.py:2184(pad)
       19    0.000    0.000    0.000    0.000 nosetester.py:170(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:242(Figure)
       52    0.000    0.000    0.000    0.000 posixpath.py:61(join)
        7    0.000    0.000    0.000    0.000 pyparsing.py:1337(__or__)
        9    0.000    0.000    0.000    0.000 __init__.py:513(_get_home)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
     30/4    0.000    0.000    0.000    0.000 pyparsing.py:2292(streamline)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
      261    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       22    0.000    0.000    0.000    0.000 locale.py:349(_replace_encoding)
     1769    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 _base.py:400(_AxesBase)
        9    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
       79    0.000    0.000    0.000    0.000 {_sre.compile}
